dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
2,LeftRight,-6.877,8.0207,4.3262,179.854,1255.5454,3065.0684
2,LeftRight,-8.0303,5.0728,6.9823,142.7848,1558.9631,3535.2974
2,LeftRight,-8.3079,-3.9817,10.4806,137.9796,1556.9037,3189.3188
2,LeftRight,-6.8435,-6.3075,13.5912,-530.6378,1142.9651,2436.2661
2,LeftRight,-4.8239,-3.4505,12.6915,-1564.4548,628.8024,1951.6213
2,LeftRight,-3.3117,-0.2728,12.2273,-2071.7529,249.187,2200.8083
2,LeftRight,-3.2207,-7.3316,11.3372,-1956.4268,41.8744,2425.9692
2,LeftRight,-3.9147,-20.9851,9.4086,-652.1422,333.6223,1348.9048
2,LeftRight,-1.206,-16.0989,15.0413,-13.7293,115.3262,217.6096
2,LeftRight,-0.2728,-10.672,14.7015,-356.9621,-205.2532,-312.3418
2,LeftRight,-0.3637,-7.2742,12.5001,-643.2181,-376.1831,-729.0264
2,LeftRight,-0.2441,-1.9047,10.4949,-619.1919,-378.929,-757.1714
2,LeftRight,-0.067,1.517,8.5663,-313.7147,-199.7615,-502.4928
2,LeftRight,0.4068,2.948,8.1452,139.3525,-14.4158,-221.7284
2,LeftRight,0.7035,2.5699,9.4995,261.5434,50.112,-35.6962
2,LeftRight,0.7896,1.8329,9.3942,104.3428,30.2045,-12.3564
2,LeftRight,1.1294,1.5266,9.6239,-28.1451,-4.1188,-44.6203
2,LeftRight,1.2203,1.9143,8.9109,-34.3233,15.1022,-26.7722
2,LeftRight,1.3591,2.0722,9.1645,-0.6865,55.6037,29.518
2,LeftRight,1.4501,1.7563,9.4469,6.8647,67.9601,50.7984
2,LeftRight,1.2156,1.5936,9.8201,17.1616,87.8676,53.5443
2,LeftRight,1.1342,1.6319,10.3466,-8.9241,53.5443,96.1052
2,LeftRight,0.8758,0.4834,10.4471,-13.0428,56.9766,106.4022
2,LeftRight,0.9332,-0.0335,10.7916,-65.9007,-20.594,54.2308
2,LeftRight,0.7992,-0.0335,10.0259,-19.221,-10.297,42.5609
3,LeftRight,4.8383,1.5888,9.1454,-104.3428,97.4781,98.851
3,LeftRight,4.8909,1.584,9.6574,-168.1841,111.8939,71.3924
3,LeftRight,4.9531,2.4407,9.7962,-162.6923,76.8841,81.0029
3,LeftRight,4.8526,3.4648,9.8871,-201.1344,72.0789,177.1081
3,LeftRight,4.8574,3.7424,10.069,-232.0253,87.8676,352.1568
3,LeftRight,4.8048,3.2734,10.5571,-352.8433,111.2074,435.9056
